dataset_id,provider,domain,data_name,data_type,format,access_type,source_urls,base_url,endpoint_or_path,api_key_required,api_key_scope,authority_level,notes
ds_001,歩行空間ネットワークデータ（台東区上野駅周辺）,步行空間,CSV形式（link.csv）GeoJSON形式（link.geojson）,static,CSV、GeoJSON,file,https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/d132ec71-749e-4b38-85d2-c2f2a78da29c/download/link.csv|https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/16c453cb-21c0-4e38-8975-0a35803b7edc/download/link.geojson|https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/18dc2190-3c9b-40e6-8fe0-ec0d386a017d/download/node.csv|https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/80140abb-8e4b-4083-b6e6-c96e28221bec/download/node.geojson,https://ckan.hokonavi.go.jp,/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/d132ec71-749e-4b38-85d2-c2f2a78da29c/download/link.csv,False,,PRIMARY,国土交通省が整備した、台東区上野駅周辺の歩行空間ネットワークデータです。 データの仕様については、「歩行空間ネットワークデータ整備仕様（2024年7月）」を参照ください。
ds_002,歩行空間ネットワークデータ（東京駅周辺）,步行空間,CSV形式（link.csv）GeoJSON形式（link.geojson）,static,CSV、GeoJSON,file,https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/e60c148a-cc2b-442f-854e-3ab8a600fefa/download/link.csv|https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/00e59f21-4074-4d50-8616-93235fbb9464/download/link.geojson|https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/9f2a7b81-7d52-4451-bf5c-9f668d0c62c8/download/node.csv|https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/58536efe-b272-4aa7-a303-2993826ede60/download/node.geojson,https://ckan.hokonavi.go.jp,/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/e60c148a-cc2b-442f-854e-3ab8a600fefa/download/link.csv,False,,PRIMARY,国土交通省が整備した、東京駅周辺の歩行空間ネットワークデータです。 データの仕様については、「歩行空間ネットワークデータ整備仕様（2024年7月）」を参照ください。
ds_003,歩行空間ネットワークデータ（皇居外苑、日本武道館を含む千代田区、中央区周辺）,步行空間,CSV形式（link.csv）GeoJSON形式（link.geojson）,static,CSV、GeoJSON,file,https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/1e3e2759-0020-4674-9394-b3c3a8ba3372/download/link.csv|https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/1ced54f1-ebba-4b91-a6cf-f80a965719ad/download/link.geojson|https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/a57d319c-fb9a-4957-a4d3-373c145642c9/download/node.csv|https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/727a6bcd-0716-4d9b-8f4b-bb7ca71ae691/download/node.geojson,https://ckan.hokonavi.go.jp,/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/1e3e2759-0020-4674-9394-b3c3a8ba3372/download/link.csv,False,,PRIMARY,国土交通省が整備した、皇居外苑、日本武道館を含む千代田区、中央区周辺の歩行空間ネットワークデータです。
ds_004,歩行空間ネットワークデータ（都営地下鉄大江戸線 上野御徒町駅）,步行空間,歩行空間ネットワークデータ（都営地下鉄大江戸線 上野御徒町駅）,static,CSV、GeoJSON、PDF、Shapefile,file,https://api-public.odpt.org/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_shapefile.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_geojson.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_csv.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/stationmap_oedo_ueno-okachimachi_geojson.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/stationmap_oedo_ueno-okachimachi_shapefile.zip,https://api-public.odpt.org,/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_shapefile.zip,True,COMPETITION_LIMITED,SECONDARY,"本データセットは、都営地下鉄大江戸線 上野御徒町駅の構内図データをもとにして、国土交通省が整備した地理空間データです。

歩行経路や空間構成を、「歩行空間ネットワークデータ」と「構内地図データ」として整備しました。

歩行空間ネットワークデータ：
「歩行空間ネットワークデータ整備仕様（国土交通省: 2024年7月）」に準拠。
通路・階段・エレベータなどをリンク（線）とノード（点）で表現し、駅構内の歩行経路を構築しています。
構内地図データ：
「階層別屋内地理空間情報データ仕様書（国土地理院: 2019年3月）」に準拠。
駅構内の建物、空間、設備などを階層別に表現しています。
確認用データ：
歩行空間ネットワークデータ、構内地図データを重ね合わせて表現したPDFデータです。
データ全体の見取り図、凡例、階層構造などをまとめています。
これらのデータを組み合わせることで、駅構内における歩行経路解析、バリアフリー経路探索、構内案内などに利用できます。"
ds_005,東京都交通局,鐵道,東京都交通局 鉄道関連リアルタイム情報,realtime,Protocol Buffers,api,https://api-public.odpt.org/api/v4/gtfs/realtime/toei_odpt_train_vehicle|https://api-public.odpt.org/api/v4/gtfs/realtime/toei_odpt_train_trip_update|https://api-public.odpt.org/api/v4/gtfs/realtime/toei_odpt_train_alert|https://api-public.odpt.org/api/v4/gtfs/realtime/ToeiBus|https://api-public.odpt.org/api/v4/files/Toei/data/Toei-Train-GTFS.zip,https://api-public.odpt.org,/api/v4/gtfs/realtime/toei_odpt_train_vehicle,True,COMPETITION_LIMITED,SECONDARY,東京都交通局の都営地下鉄、東京さくらトラム（都電荒川線）、日暮里・舎人ライナーについて、GTFS-RT形式による鉄道関連リアルタイム情報を提供します。
ds_006,東京都交通局,鐵道、公車,東京都交通局 バス停情報,static,JSON,api,https://api-public.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:RailwayFare?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:TrainTimetable?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusroutePattern?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:Train?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusTimetable?odpt:operator=odpt.Operator:Toei,https://api-public.odpt.org,/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:Toei,True,COMPETITION_LIMITED,SECONDARY,東京都交通局のバス停情報を提供します。※APIからの出力結果が、上限の1000件を越える場合、出力は1000件までとなります。上限を越えた部分のデータを利用したい場合は、以下のURLから全データを取得し、必要なデータを抽出してご利用ください（API仕様の詳細を知りたい場合は、 開発者サイトでのユーザ登録後、開発者サイト内の各種関連ドキュメントをご参照ください）。
ds_007,東京都交通局,鐵道、公車,,static,JSON,api,https://api-public.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:Station?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:StationTimetable?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusroutePatternFare?odpt:operator=odpt.Operator:Toei,https://api-public.odpt.org,/api/v4/odpt:Railway?odpt:operator=odpt.Operator:Toei,True,COMPETITION_LIMITED,SECONDARY,※APIからの出力結果が、上限の1000件を越える場合、出力は1000件までとなります。上限を越えた部分のデータを利用したい場合は、以下のURLから全データを取得し、必要なデータを抽出してご利用ください
ds_008,東京都交通局,鐵道、公車,東京都交通局 バス関連情報,static,GTFS-JP,file,https://api-public.odpt.org/api/v4/files/Toei/data/ToeiBus-GTFS.zip|https://api-public.odpt.org/api/v4/odpt:Bus?odpt:operator=odpt.Operator:Toei,https://api-public.odpt.org,/api/v4/files/Toei/data/ToeiBus-GTFS.zip,True,COMPETITION_LIMITED,SECONDARY,※当データは、開発者サイトでのユーザ登録後、以下のURLからもアクセス可能です。
ds_009,東京メトロ,鐵道,東京メトロ 鉄道関連リアルタイム情報 ,realtime,Protocol Buffers,api,https://api.odpt.org/api/v4/gtfs/realtime/tokyometro_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/files/TokyoMetro/data/TokyoMetro-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/gtfs/realtime/tokyometro_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,東京メトロについて、GTFS-RT形式による鉄道関連リアルタイム情報を提供します。
ds_010,東京メトロ,鐵道,東京メトロ 運賃情報         ,static,JSON,api,https://api.odpt.org/api/v4/odpt:RailwayFare?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:Station?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:StationTimetable?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:TrainInformation?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:TrainTimetable?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org,/api/v4/odpt:RailwayFare?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],True,COMPETITION_LIMITED,SECONDARY,"東京メトロの運賃情報を提供します。 / Fare information of Tokyo Metro

※本データは、開発者サイトでユーザ登録していただくことによりご利用できます。"
